Area,Year,InMonth,InDay,OutMonth,OutDay,preliminary
中国,2013,5,27,7,8,0
中国,2014,6,2,7,20,0
中国,2015,6,2,7,24,0
中国,2016,6,4,7,18,0
中国,2017,6,20,7,13,0
中国,2018,6,5,7,9,0
中国,2019,6,26,7,25,0
中国,2020,6,10,7,31,0
中国,2021,5,12,7,13,0
中国,2022,6,14,6,28,1
近畿,1951,6,7,7,20,0
近畿,1952,6,14,7,15,0
近畿,1953,5,28,7,24,0
近畿,1954,5,30,7,21,0
近畿,1955,6,15,7,9,0
近畿,1956,5,22,7,12,0
近畿,1957,6,17,7,29,0
近畿,1958,6,25,7,12,0
近畿,1959,6,5,7,20,0
近畿,1960,6,10,7,11,0
近畿,1961,6,9,7,13,0
近畿,1962,6,2,7,20,0
近畿,1963,,,7,13,0
近畿,1964,6,13,7,22,0
近畿,1965,6,12,7,25,0
近畿,1966,5,29,7,13,0
近畿,1967,6,21,7,13,0
近畿,1968,6,13,7,17,0
近畿,1969,6,17,7,15,0
近畿,1970,6,10,7,18,0
近畿,1971,6,3,7,28,0
近畿,1972,6,3,7,18,0
近畿,1973,6,5,7,4,0
近畿,1974,6,11,7,20,0
近畿,1975,6,5,7,15,0
近畿,1976,6,5,7,20,0
近畿,1977,6,7,7,20,0
近畿,1978,6,11,7,3,0
近畿,1979,6,7,7,22,0
近畿,1980,5,29,7,20,0
近畿,1981,6,11,7,16,0
近畿,1982,6,13,7,27,0
近畿,1983,6,12,7,25,0
近畿,1984,6,8,7,17,0
近畿,1985,6,7,7,15,0
近畿,1986,6,16,7,27,0
近畿,1987,6,8,7,24,0
近畿,1988,6,8,7,31,0
近畿,1989,6,8,7,19,0
近畿,1990,5,31,7,18,0
近畿,1991,5,26,7,21,0
近畿,1992,6,7,7,21,0
近畿,1993,5,30,,,0
近畿,1994,6,8,7,10,0
近畿,1995,6,3,7,23,0
近畿,1996,6,7,7,11,0
近畿,1997,6,2,7,18,0
近畿,1998,6,2,7,31,0
近畿,1999,6,3,7,22,0
近畿,2000,6,9,7,18,0
近畿,2001,6,5,7,19,0
近畿,2002,6,11,7,20,0
近畿,2003,6,10,8,1,0
近畿,2004,6,6,7,13,0
近畿,2005,6,11,7,18,0
近畿,2006,6,8,7,27,0
近畿,2007,6,14,7,24,0
近畿,2008,5,28,7,12,0
近畿,2009,6,3,8,3,0
近畿,2010,6,13,7,17,0
近畿,2011,5,22,7,8,0
近畿,2012,6,8,7,16,0
近畿,2013,5,27,7,8,0
近畿,2014,6,3,7,20,0
近畿,2015,6,3,7,24,0
近畿,2016,6,4,7,18,0
近畿,2017,6,20,7,13,0
近畿,2018,6,5,7,9,0
近畿,2019,6,27,7,24,0
近畿,2020,6,10,8,1,0
近畿,2021,6,12,7,17,0
近畿,2022,6,14,6,28,1
東海,1951,6,28,7,18,0
東海,1952,5,27,7,16,0
東海,1953,5,28,7,24,0
東海,1954,6,6,8,2,0
東海,1955,6,2,7,9,0
東海,1956,5,22,7,13,0
東海,1957,6,21,7,29,0
東海,1958,6,25,7,15,0
東海,1959,6,19,7,20,0
東海,1960,6,21,7,11,0
東海,1961,6,21,7,14,0
東海,1962,6,3,7,12,0
東海,1963,5,4,6,22,0
東海,1964,6,20,7,22,0
東海,1965,6,12,7,24,0
東海,1966,6,15,7,13,0
東海,1967,6,22,7,15,0
東海,1968,6,13,7,18,0
東海,1969,6,17,7,14,0
東海,1970,6,10,7,18,0
東海,1971,6,3,7,29,0
東海,1972,6,12,7,18,0
東海,1973,6,6,7,5,0
東海,1974,6,11,7,20,0
東海,1975,6,5,7,15,0
東海,1976,6,5,7,21,0
東海,1977,6,7,7,20,0
東海,1978,6,11,7,4,0
東海,1979,6,7,7,23,0
東海,1980,6,8,7,21,0
東海,1981,6,11,7,15,0
東海,1982,6,17,7,30,0
東海,1983,6,12,7,26,0
東海,1984,6,8,7,19,0
東海,1985,6,8,7,14,0
東海,1986,6,16,7,27,0
東海,1987,6,9,7,24,0
東海,1988,6,8,7,30,0
東海,1989,6,9,7,19,0
東海,1990,6,1,7,18,0
東海,1991,5,31,7,21,0
東海,1992,6,7,7,19,0
東海,1993,5,30,,,0
東海,1994,6,7,7,11,0
